Date,Price,Open,High,Low,Vol.,Change %
03/25/2022,86.02,86.275,86.485,86.23,0.00K,-0.10%
03/24/2022,86.11,86.195,86.32,86.025,0.01K,-0.09%
03/23/2022,86.19,86.225,86.225,85.975,0.01K,-0.01%
03/22/2022,86.2,85.975,86.225,85.975,0.01K,0.23%
03/21/2022,86,85.975,86.025,85.975,0.01K,0.10%
03/17/2022,85.91,86.27,86.27,86.27,,-0.10%
03/16/2022,86,85.975,86.025,85.975,0.01K,0.16%
03/15/2022,85.86,85.975,86.12,85.93,0.01K,-0.06%
03/14/2022,85.91,85.975,86.12,85.955,0.01K,0.10%
2022/11/03,85.82,86.06,86.225,86.015,0.00K,-0.10%
2022/10/03,85.91,85.975,86.105,85.955,0.01K,0.00%
2022/09/03,85.91,85.975,86.03,85.93,0.01K,0.06%
2022/08/03,85.86,85.975,86.005,85.93,0.01K,-0.10%
2022/07/03,85.95,86.025,86.025,85.975,0.01K,0.24%
2022/04/03,85.74,86.145,86.21,86.06,0.00K,-0.20%
2022/03/03,85.91,85.975,86.19,85.955,0.01K,0.15%
2022/02/03,85.78,85.795,86.095,85.79,0.01K,0.09%
2022/01/03,85.7,85.975,86.02,85.75,0.01K,-0.08%
02/28/2022,85.77,85.975,86.085,85.885,0.01K,-0.21%
02/24/2022,85.95,85.975,85.975,85.975,,0.10%
02/23/2022,85.86,85.975,86.14,85.93,0.01K,0.09%
02/22/2022,85.78,85.975,86.08,85.89,0.01K,0.01%
02/18/2022,85.77,86.11,86.11,86.11,,-0.10%
02/17/2022,85.86,85.975,86.14,85.93,0.01K,0.00%
02/16/2022,85.86,85.975,85.98,85.93,0.01K,0.12%
02/15/2022,85.76,85.975,85.99,85.88,0.01K,-0.05%
02/14/2022,85.8,85.975,86.44,85.885,0.01K,0.03%
2022/11/02,85.77,85.935,86.395,85.89,0.00K,-0.21%
2022/10/02,85.95,85.975,85.975,85.975,,0.10%
2022/09/02,85.86,85.975,85.99,85.9,0.01K,0.07%
2022/08/02,85.8,85.975,85.99,85.9,0.01K,0.01%
2022/07/02,85.79,85.975,86.105,85.85,0.01K,0.11%
